gi|224384768|gb|CM000663.1| chr1
gi|224384767|gb|CM000664.1| chr2
gi|224384766|gb|CM000665.1| chr3
gi|224384765|gb|CM000666.1| chr4
gi|224384764|gb|CM000667.1| chr5
gi|224384763|gb|CM000668.1| chr6
gi|224384762|gb|CM000669.1| chr7
gi|224384761|gb|CM000670.1| chr8
gi|224384760|gb|CM000671.1| chr9
gi|224384759|gb|CM000672.1| chr10
gi|224384758|gb|CM000673.1| chr11
gi|224384757|gb|CM000674.1| chr12
gi|224384756|gb|CM000675.1| chr13
gi|224384755|gb|CM000676.1| chr14
gi|224384754|gb|CM000677.1| chr15
gi|224384753|gb|CM000678.1| chr16
gi|224384752|gb|CM000679.1| chr17
gi|224384751|gb|CM000680.1| chr18
gi|224384750|gb|CM000681.1| chr19
gi|224384749|gb|CM000682.1| chr20
gi|224384748|gb|CM000683.1| chr21
gi|224384747|gb|CM000684.1| chr22
